source_id,source_name,module_id,module_url,grade,subject,subdomain,module_slug,has_data_xml,has_data_np_xml,page_count,js_asset_count,exercise_asset_count,html_asset_count,data_type,language_type,module_title_en,module_title_ne,discovered_at,last_seen_at,status,notes
EPAATH_grade1__math__numbers_one_to_five,OLE Nepal E-Paath,grade1/math/numbers_one_to_five,https://epaath.olenepal.org/activity/grade1/math/numbers_one_to_five/,1,math,mathematics,numbers_one_to_five,1,1,4,1,1,4,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__numbers_one_to_twenty_new,OLE Nepal E-Paath,grade1/math/numbers_one_to_twenty_new,https://epaath.olenepal.org/activity/grade1/math/numbers_one_to_twenty_new/,1,math,mathematics,numbers_one_to_twenty_new,1,1,6,1,1,7,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__odd_and_even_new,OLE Nepal E-Paath,grade1/math/odd_and_even_new,https://epaath.olenepal.org/activity/grade1/math/odd_and_even_new/,1,math,mathematics,odd_and_even_new,1,1,6,1,0,7,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__ordinal_numbers,OLE Nepal E-Paath,grade1/math/ordinal_numbers,https://epaath.olenepal.org/activity/grade1/math/ordinal_numbers/,1,math,mathematics,ordinal_numbers,1,1,7,1,1,8,bilingual_module,en-ne,,,2026-05-19T04:37:50Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__pictograph,OLE Nepal E-Paath,grade1/math/pictograph,https://epaath.olenepal.org/activity/grade1/math/pictograph/,1,math,mathematics,pictograph,1,1,1,1,0,1,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__subtracting_two_digit_new,OLE Nepal E-Paath,grade1/math/subtracting_two_digit_new,https://epaath.olenepal.org/activity/grade1/math/subtracting_two_digit_new/,1,math,mathematics,subtracting_two_digit_new,1,1,3,1,0,4,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__math__time,OLE Nepal E-Paath,grade1/math/time,https://epaath.olenepal.org/activity/grade1/math/time/,1,math,mathematics,time,1,1,4,1,0,5,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__a_to_e_new,OLE Nepal E-Paath,grade1/nepali/a_to_e_new,https://epaath.olenepal.org/activity/grade1/nepali/a_to_e_new/,1,nepali,nepali_language,a_to_e_new,1,1,7,1,0,8,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__adha_achyar,OLE Nepal E-Paath,grade1/nepali/adha_achyar,https://epaath.olenepal.org/activity/grade1/nepali/adha_achyar/,1,nepali,nepali_language,adha_achyar,1,1,4,1,0,4,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__bidhyalaya_pahilo_din,OLE Nepal E-Paath,grade1/nepali/bidhyalaya_pahilo_din,https://epaath.olenepal.org/activity/grade1/nepali/bidhyalaya_pahilo_din/,1,nepali,nepali_language,bidhyalaya_pahilo_din,1,1,1,1,0,1,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__cha_ya_china,OLE Nepal E-Paath,grade1/nepali/cha_ya_china,https://epaath.olenepal.org/activity/grade1/nepali/cha_ya_china/,1,nepali,nepali_language,cha_ya_china,1,1,7,1,0,7,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__ka_to_na,OLE Nepal E-Paath,grade1/nepali/ka_to_na,https://epaath.olenepal.org/activity/grade1/nepali/ka_to_na/,1,nepali,nepali_language,ka_to_na,1,1,5,1,0,5,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__kurakani,OLE Nepal E-Paath,grade1/nepali/kurakani,https://epaath.olenepal.org/activity/grade1/nepali/kurakani/,1,nepali,nepali_language,kurakani,1,1,3,1,0,3,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__mero_ghar_aagan,OLE Nepal E-Paath,grade1/nepali/mero_ghar_aagan,https://epaath.olenepal.org/activity/grade1/nepali/mero_ghar_aagan/,1,nepali,nepali_language,mero_ghar_aagan,0,1,2,1,0,2,monolingual_module,ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__mero_kam,OLE Nepal E-Paath,grade1/nepali/mero_kam,https://epaath.olenepal.org/activity/grade1/nepali/mero_kam/,1,nepali,nepali_language,mero_kam,1,1,4,1,0,5,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__pa_ma_china,OLE Nepal E-Paath,grade1/nepali/pa_ma_china,https://epaath.olenepal.org/activity/grade1/nepali/pa_ma_china/,1,nepali,nepali_language,pa_ma_china,1,1,5,1,0,5,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__purnabiram_ko_prayog,OLE Nepal E-Paath,grade1/nepali/purnabiram_ko_prayog,https://epaath.olenepal.org/activity/grade1/nepali/purnabiram_ko_prayog/,1,nepali,nepali_language,purnabiram_ko_prayog,0,1,1,1,0,1,monolingual_module,ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__sabda_banao_new,OLE Nepal E-Paath,grade1/nepali/sabda_banao_new,https://epaath.olenepal.org/activity/grade1/nepali/sabda_banao_new/,1,nepali,nepali_language,sabda_banao_new,1,1,4,1,1,4,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:41Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__shabda_ra_chitra_chinau,OLE Nepal E-Paath,grade1/nepali/shabda_ra_chitra_chinau,https://epaath.olenepal.org/activity/grade1/nepali/shabda_ra_chitra_chinau/,1,nepali,nepali_language,shabda_ra_chitra_chinau,1,1,5,1,0,6,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__shhatoghya,OLE Nepal E-Paath,grade1/nepali/shhatoghya,https://epaath.olenepal.org/activity/grade1/nepali/shhatoghya/,1,nepali,nepali_language,shhatoghya,1,1,7,1,0,7,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__sita_ko_ghar,OLE Nepal E-Paath,grade1/nepali/sita_ko_ghar,https://epaath.olenepal.org/activity/grade1/nepali/sita_ko_ghar/,1,nepali,nepali_language,sita_ko_ghar,1,1,1,1,0,1,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__ta_aana_china,OLE Nepal E-Paath,grade1/nepali/ta_aana_china,https://epaath.olenepal.org/activity/grade1/nepali/ta_aana_china/,1,nepali,nepali_language,ta_aana_china,1,1,5,1,0,5,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
EPAATH_grade1__nepali__ta_na_china,OLE Nepal E-Paath,grade1/nepali/ta_na_china,https://epaath.olenepal.org/activity/grade1/nepali/ta_na_china/,1,nepali,nepali_language,ta_na_china,1,1,5,1,0,5,bilingual_module,en-ne,,,2026-05-19T04:37:51Z,2026-05-19T04:56:42Z,discovered,early_grade_learning_candidate
